"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.411371125E0,6.900650024E-2,1.944456482E-1,9.786798248E0,9.788972927E0
1.421389125E0,6.421646118E-2,2.041754150E-1,9.789941711E0,9.792281147E0
1.431407125E0,6.541397095E-2,1.986369324E-1,9.787995758E0,9.790229649E0
1.441424125E0,7.529342651E-2,2.007325745E-1,9.800120544E0,9.802465269E0
1.451442125E0,6.286926270E-2,1.936972046E-1,9.791887665E0,9.794005064E0
1.461460125E0,5.957611084E-2,1.983375549E-1,9.789492645E0,9.791682866E0
1.471478125E0,6.256988525E-2,1.959425354E-1,9.795180817E0,9.797340236E0
1.481496125E0,6.152206421E-2,1.839674377E-1,9.786049805E0,9.787972199E0
1.491514125E0,6.930587769E-2,1.923500061E-1,9.787995758E0,9.790130887E0
1.501532125E0,6.571334839E-2,2.046244812E-1,9.784552917E0,9.786912956E0
1.511550125E0,6.556365967E-2,2.047741699E-1,9.785151672E0,9.787513694E0
1.521567125E0,6.466552734E-2,1.966909790E-1,9.794582062E0,9.796770220E0
1.531585125E0,7.200027466E-2,1.984872437E-1,9.783654785E0,9.785932872E0
1.541603125E0,7.110214233E-2,1.941462708E-1,9.785900116E0,9.788084050E0
1.551621125E0,6.361770630E-2,1.977388000E-1,9.785750427E0,9.787954805E0
1.561639125E0,6.271957397E-2,2.013313293E-1,9.792037354E0,9.794307713E0
1.571657125E0,6.466552734E-2,2.038760376E-1,9.797426147E0,9.799760517E0
1.581675792E0,6.915618896E-2,2.008822632E-1,9.797426147E0,9.799729352E0
1.591693792E0,5.852828979E-2,1.936972046E-1,9.796528015E0,9.798617521E0
1.601710792E0,6.316864014E-2,1.956431580E-1,9.790390778E0,9.792549111E0
1.611728792E0,6.421646118E-2,2.040257263E-1,9.785900116E0,9.788237397E0
1.621746792E0,6.361770630E-2,2.065704346E-1,9.793534241E0,9.795919124E0
1.631764792E0,6.616241455E-2,1.978884888E-1,9.795330505E0,9.797552604E0
1.641782792E0,6.616241455E-2,1.986369324E-1,9.795330505E0,9.797567749E0
1.651800792E0,6.301895142E-2,1.966909790E-1,9.798773346E0,9.800949842E0
1.661818792E0,6.316864014E-2,1.984872437E-1,9.786049805E0,9.788266355E0
1.671836792E0,6.242019653E-2,2.043251038E-1,9.798623657E0,9.800952536E0
1.681853792E0,6.242019653E-2,2.019300842E-1,9.800419922E0,9.802698745E0
1.691871792E0,5.298980713E-2,2.046244812E-1,9.792785797E0,9.795066757E0
1.701889792E0,6.421646118E-2,2.077679443E-1,9.793234863E0,9.795649053E0
1.711907792E0,6.721023560E-2,1.956431580E-1,9.785151672E0,9.787338081E0
1.721925792E0,6.451583862E-2,1.932481384E-1,9.793384552E0,9.795503464E0
1.731943792E0,6.466552734E-2,1.929487610E-1,9.783954163E0,9.786070198E0
1.741961792E0,7.020401001E-2,2.002835083E-1,9.792935486E0,9.795234939E0
1.751979792E0,6.436614990E-2,1.962419128E-1,9.793983307E0,9.796160621E0
1.761996792E0,7.050338745E-2,2.008822632E-1,9.790540466E0,9.792854897E0
1.772014792E0,7.095245361E-2,2.029779053E-1,9.800868988E0,9.803227387E0
1.782032792E0,6.122268677E-2,1.960922241E-1,9.793983307E0,9.796137473E0
1.792050792E0,6.915618896E-2,1.951940918E-1,9.793683929E0,9.795873020E0
1.802068792E0,5.598358154E-2,1.963916016E-1,9.800719299E0,9.802846658E0
1.812086792E0,6.451583862E-2,2.025288391E-1,9.789193268E0,9.791500654E0
1.822104792E0,6.526428223E-2,2.049238586E-1,9.792935486E0,9.795296761E0
1.832122792E0,6.316864014E-2,1.975891113E-1,9.801318054E0,9.803513010E0
1.842139792E0,6.301895142E-2,2.043251038E-1,9.806257782E0,9.808588676E0
1.852157792E0,6.092330933E-2,2.052232361E-1,9.792187042E0,9.794526803E0
1.862175792E0,6.212081909E-2,1.927990723E-1,9.788444824E0,9.790540463E0
1.872193792E0,6.002517700E-2,2.016307068E-1,9.803563385E0,9.805820364E0
1.882211792E0,5.852828979E-2,2.040257263E-1,9.802216187E0,9.804513972E0
1.892229792E0,6.062393188E-2,1.989363098E-1,9.784403229E0,9.786613176E0
1.902247792E0,5.927673340E-2,2.041754150E-1,9.802066498E0,9.804371931E0
1.912264792E0,6.526428223E-2,2.064207458E-1,9.799671478E0,9.802062540E0
1.922282792E0,6.885681152E-2,2.026785278E-1,9.780511322E0,9.782853447E0
1.932300792E0,6.197113037E-2,1.980381775E-1,9.791438599E0,9.793637188E0
1.942318792E0,6.077362061E-2,2.026785278E-1,9.791288910E0,9.793574962E0
1.952336792E0,6.496490479E-2,1.983375549E-1,9.789492645E0,9.791717136E0
1.962354792E0,6.092330933E-2,2.046244812E-1,9.792636108E0,9.794963235E0
1.972372792E0,6.900650024E-2,2.052232361E-1,9.787696381E0,9.790090853E0
1.982389792E0,7.200027466E-2,1.893562317E-1,9.801467743E0,9.803561074E0
1.992407792E0,6.780899048E-2,2.031275940E-1,9.804311829E0,9.806650259E0
2.002425792E0,5.822891235E-2,2.076182556E-1,9.798773346E0,9.801145598E0
2.012443792E0,5.867797852E-2,1.986369324E-1,9.805659027E0,9.807846282E0
2.022461792E0,5.942642212E-2,1.977388000E-1,9.798923035E0,9.801098141E0
2.032479792E0,5.957611084E-2,2.013313293E-1,9.791438599E0,9.793689471E0
2.042497792E0,6.810836792E-2,1.974394226E-1,9.793833618E0,9.796060331E0
2.052515792E0,6.511459351E-2,2.023791504E-1,9.784702606E0,9.787011920E0
2.062532792E0,5.822891235E-2,2.040257263E-1,9.799372101E0,9.801668770E0
2.072550792E0,6.481521606E-2,1.975891113E-1,9.794881439E0,9.797088592E0
2.082568792E0,6.271957397E-2,2.023791504E-1,9.791887665E0,9.794179655E0
2.092586792E0,6.286926270E-2,2.037263489E-1,9.790241089E0,9.792562359E0
2.102604792E0,6.182144165E-2,2.019300842E-1,9.785151672E0,9.787430250E0
2.112622792E0,5.748046875E-2,1.944456482E-1,9.806557159E0,9.808653141E0
2.122639792E0,6.735992432E-2,2.077679443E-1,9.795330505E0,9.797765285E0
2.132657792E0,6.107299805E-2,2.019300842E-1,9.799372101E0,9.801642681E0
2.142675792E0,6.541397095E-2,2.014810181E-1,9.795480194E0,9.797770452E0
2.152693792E0,6.721023560E-2,1.941462708E-1,9.797875214E0,9.800029015E0
2.162711792E0,6.421646118E-2,2.023791504E-1,9.798923035E0,9.801223072E0
2.172729792E0,6.810836792E-2,1.989363098E-1,9.802964630E0,9.805219526E0
2.182747792E0,5.763015747E-2,1.986369324E-1,9.802365875E0,9.804547650E0
2.192764792E0,6.032455444E-2,2.037263489E-1,9.797276459E0,9.799580067E0
2.202782792E0,6.092330933E-2,1.939965820E-1,9.803413696E0,9.805522241E0
2.212800792E0,7.319778442E-2,1.941462708E-1,9.796827393E0,9.799024321E0
2.222818792E0,6.721023560E-2,1.959425354E-1,9.800419922E0,9.802608905E0
2.232836792E0,6.361770630E-2,1.963916016E-1,9.796977081E0,9.799151841E0
2.242854792E0,6.242019653E-2,1.927990723E-1,9.795629883E0,9.797725887E0
2.252872792E0,5.553451538E-2,2.025288391E-1,9.790540466E0,9.792792484E0
2.262889792E0,6.451583862E-2,2.002835083E-1,9.802814941E0,9.805073001E0
2.272907792E0,6.436614990E-2,2.020797729E-1,9.800719299E0,9.803013721E0
2.282925792E0,5.673202515E-2,2.037263489E-1,9.803713074E0,9.805993727E0
2.292943792E0,6.167175293E-2,1.966909790E-1,9.788893890E0,9.791064005E0
2.302961792E0,6.526428223E-2,1.992356873E-1,9.800569611E0,9.802811789E0
2.312979792E0,5.987548828E-2,2.014810181E-1,9.801018677E0,9.803272248E0
2.322997792E0,6.017486572E-2,2.052232361E-1,9.793534241E0,9.795869054E0
2.333014792E0,6.990463257E-2,2.092648315E-1,9.796677704E0,9.799161824E0
2.343032792E0,5.972579956E-2,2.037263489E-1,9.798623657E0,9.800923282E0
2.353050792E0,5.957611084E-2,2.017803955E-1,9.798923035E0,9.801181423E0
2.363068792E0,6.346801758E-2,1.890568542E-1,9.801617432E0,9.803646003E0
2.373086792E0,6.795867920E-2,2.073188782E-1,9.796677704E0,9.799106772E0
2.383104792E0,5.748046875E-2,2.085163879E-1,9.806108093E0,9.808493209E0
2.393121792E0,6.451583862E-2,1.924996948E-1,9.798473969E0,9.800577051E0
2.403139792E0,6.496490479E-2,1.995350647E-1,9.788893890E0,9.791142848E0
2.413157792E0,5.763015747E-2,2.043251038E-1,9.792037354E0,9.794338442E0
2.423175792E0,6.316864014E-2,1.977388000E-1,9.803413696E0,9.805611200E0
2.433193792E0,6.780899048E-2,2.052232361E-1,9.799372101E0,9.801755364E0
2.443211792E0,5.927673340E-2,1.960922241E-1,9.792336731E0,9.794479289E0
2.453228792E0,6.197113037E-2,1.916015625E-1,9.798773346E0,9.800842345E0
2.463246792E0,6.152206421E-2,2.017803955E-1,9.799521790E0,9.801792060E0
2.473264792E0,6.331832886E-2,1.947450256E-1,9.803862762E0,9.806001219E0
2.483282792E0,6.631210327E-2,1.996847534E-1,9.803413696E0,9.805671389E0
2.493300792E0,5.957611084E-2,2.037263489E-1,9.791588287E0,9.793888652E0
2.503318792E0,6.017486572E-2,2.100132751E-1,9.799821167E0,9.802255939E0
2.513335792E0,7.020401001E-2,1.971400452E-1,9.807006226E0,9.809238702E0
2.523353792E0,6.301895142E-2,2.011816406E-1,9.801018677E0,9.803285803E0
2.533371792E0,6.167175293E-2,1.983375549E-1,9.804311829E0,9.806511695E0
2.543389792E0,6.975494385E-2,2.034269714E-1,9.796078949E0,9.798439215E0
2.553407792E0,6.496490479E-2,2.076182556E-1,9.803713074E0,9.806126443E0
