"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.232207667E0,-1.422042847E-2,1.046324158E-1,9.750573578E0,9.751145331E0
1.242223667E0,-1.646575928E-3,1.085243225E-1,9.758806458E0,9.759410009E0
1.252241125E0,1.257385254E-2,1.110690308E-1,9.759854279E0,9.760494351E0
1.262258125E0,-1.796264648E-3,9.639953613E-2,9.762249298E0,9.762725411E0
1.272274125E0,-2.993774414E-4,9.086105347E-2,9.776469727E0,9.776891947E0
1.282291125E0,2.544708252E-3,9.699829102E-2,9.782008209E0,9.782489445E0
1.292308125E0,4.790039062E-3,9.954299927E-2,9.769134979E0,9.769643289E0
1.302324125E0,-8.232879639E-3,1.083746338E-1,9.795779572E0,9.796382509E0
1.312341125E0,-1.347198486E-3,1.113684082E-1,9.785451050E0,9.786084865E0
1.322358125E0,-2.993774414E-3,1.148112488E-1,9.770781555E0,9.771456533E0
1.332374125E0,-6.586303711E-3,1.234931946E-1,9.781708832E0,9.782490563E0
1.342391125E0,-6.735992432E-3,1.163081360E-1,9.775721283E0,9.776415476E0
1.352408125E0,-8.981323242E-4,1.185534668E-1,9.761500854E0,9.762220785E0
1.362424125E0,-1.796264648E-3,1.243913269E-1,9.760602722E0,9.761395491E0
1.372441125E0,4.340972900E-3,1.353186035E-1,9.783505096E0,9.784441831E0
1.382458125E0,1.212478638E-2,1.329235840E-1,9.760303345E0,9.761215963E0
1.392474125E0,1.706451416E-2,1.299298096E-1,9.757608948E0,9.758488886E0
1.402491125E0,2.245330811E-3,1.204994202E-1,9.782008209E0,9.782750623E0
1.412508125E0,4.790039062E-3,1.299298096E-1,9.752369843E0,9.753236501E0
1.422524125E0,-8.981323242E-4,1.119671631E-1,9.748777313E0,9.749420319E0
1.432541125E0,-6.436614990E-3,1.094224548E-1,9.782008209E0,9.782622313E0
1.442558125E0,-1.107696533E-2,1.080752563E-1,9.792486420E0,9.793089055E0
1.452574125E0,-9.580078125E-3,1.016386414E-1,9.778415680E0,9.778948584E0
1.462591125E0,-8.532257080E-3,9.370513916E-2,9.788744202E0,9.789196417E0
1.472608125E0,-1.916015625E-2,9.116043091E-2,9.798174591E0,9.798617385E0
1.482624125E0,-1.541793823E-2,9.280700684E-2,9.793534241E0,9.793986103E0
1.492641125E0,-7.035369873E-3,1.017883301E-1,9.767488403E0,9.768021298E0
1.502658125E0,-1.167572021E-2,1.067280579E-1,9.777367859E0,9.777957325E0
1.512674125E0,7.484436035E-4,1.080752563E-1,9.792037354E0,9.792633780E0
1.522691125E0,9.879455566E-3,1.218466187E-1,9.738149414E0,9.738916686E0
1.532708125E0,1.496887207E-3,1.225950623E-1,9.746831360E0,9.747602441E0
1.542724125E0,3.293151855E-3,1.213975525E-1,9.776170349E0,9.776924614E0
1.552741125E0,8.382568359E-3,1.227447510E-1,9.754016418E0,9.754792301E0
1.562758125E0,3.742218018E-3,1.107696533E-1,9.725874939E0,9.726506426E0
1.572774125E0,5.987548828E-4,1.017883301E-1,9.768985291E0,9.769515588E0
1.582791125E0,5.239105225E-3,1.068777466E-1,9.773625641E0,9.774211399E0
1.592808125E0,9.879455566E-3,1.034349060E-1,9.741292877E0,9.741847017E0
1.602824125E0,-5.688171387E-3,1.038839722E-1,9.748028870E0,9.748584055E0
1.612841125E0,-1.347198486E-3,1.023870850E-1,9.775870972E0,9.776407223E0
1.622858125E0,1.796264648E-3,1.128652954E-1,9.761949921E0,9.762602525E0
1.632874125E0,-3.891906738E-3,1.193019104E-1,9.751621399E0,9.752351921E0
1.642891125E0,-6.885681152E-3,1.202000427E-1,9.769733734E0,9.770475562E0
1.652908125E0,-5.987548828E-3,1.266366577E-1,9.786648560E0,9.787469679E0
1.662924125E0,-4.640350342E-3,1.333726501E-1,9.770482178E0,9.771393544E0
1.672941125E0,-7.783813477E-3,1.185534668E-1,9.792336731E0,9.793057447E0
1.682958125E0,-5.837860107E-3,1.134640503E-1,9.817185059E0,9.817842464E0
1.692974125E0,5.089416504E-3,1.255888367E-1,9.792935486E0,9.793742078E0
1.702991125E0,-1.197509766E-3,1.218466187E-1,9.769284668E0,9.770044573E0
1.713008125E0,-3.592529297E-3,1.070274353E-1,9.829459534E0,9.830042854E0
1.723024125E0,-7.035369873E-3,1.019380188E-1,9.814191284E0,9.814723196E0
1.733041125E0,3.891906738E-3,1.106199646E-1,9.771380310E0,9.772007219E0
1.743058125E0,-1.092727661E-2,1.182540894E-1,9.795180817E0,9.795900707E0
1.753074125E0,-4.490661621E-3,1.267863464E-1,9.797875214E0,9.798696528E0
1.763091125E0,-2.993774414E-4,1.237925720E-1,9.767189026E0,9.767973493E0
1.773108125E0,-9.131011963E-3,1.344204712E-1,9.773625641E0,9.774554231E0
1.783124125E0,-3.742218018E-3,1.166075134E-1,9.730964355E0,9.731663712E0
1.793141125E0,-1.916015625E-2,8.173004150E-2,9.750274200E0,9.750635564E0
1.803158125E0,-1.871109009E-2,1.222956848E-1,9.662257233E0,9.663049269E0
1.813174125E0,7.035369873E-3,1.305285645E-1,9.647737427E0,9.648622941E0
