"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.605450458E0,-2.664459229E-1,1.197509766E-1,9.779313812E0,9.783675810E0
1.615465458E0,-2.631527710E-1,1.161584473E-1,9.779014435E0,9.783244118E0
1.625481458E0,-2.739303589E-1,1.181044006E-1,9.786798248E0,9.791343444E0
1.635497458E0,-2.803669739E-1,1.243913269E-1,9.784852295E0,9.789658486E0
1.645512458E0,-2.695893860E-1,1.251397705E-1,9.781559143E0,9.786073659E0
1.655528458E0,-2.758763123E-1,1.161584473E-1,9.783505096E0,9.788083188E0
1.665543458E0,-2.817141724E-1,1.139131165E-1,9.785301361E0,9.790018478E0
1.675559458E0,-2.742297363E-1,1.110690308E-1,9.782157898E0,9.786631260E0
1.685574458E0,-2.725831604E-1,1.091230774E-1,9.787097626E0,9.791500874E0
1.695590458E0,-2.772235107E-1,1.125659180E-1,9.786498871E0,9.791071653E0
1.705605458E0,-2.767744446E-1,1.210981750E-1,9.787546692E0,9.792208081E0
1.715621458E0,-2.718347168E-1,1.272354126E-1,9.784253540E0,9.788855924E0
1.725637458E0,-2.718347168E-1,1.209484863E-1,9.779613190E0,9.784138020E0
1.735652458E0,-2.737806702E-1,1.130149841E-1,9.790839844E0,9.795318938E0
1.745668458E0,-2.697390747E-1,1.155596924E-1,9.784253540E0,9.788653153E0
1.755683458E0,-2.703378296E-1,1.139131165E-1,9.790241089E0,9.794635232E0
1.765699458E0,-2.716850281E-1,1.110690308E-1,9.789642334E0,9.794041357E0
1.775714458E0,-2.712359619E-1,1.204994202E-1,9.781559143E0,9.786060920E0
1.785730458E0,-2.721340942E-1,1.146615601E-1,9.777517548E0,9.781975957E0
1.795745458E0,-2.718347168E-1,1.134640503E-1,9.789193268E0,9.793624101E0
1.805761458E0,-2.736309814E-1,1.202000427E-1,9.783205719E0,9.787769721E0
1.815777458E0,-2.725831604E-1,1.140628052E-1,9.782756653E0,9.787218176E0
1.825792458E0,-2.694396973E-1,1.164578247E-1,9.779164124E0,9.783568425E0
1.835808458E0,-2.767744446E-1,1.199006653E-1,9.778715057E0,9.783365905E0
1.845823458E0,-2.764750671E-1,1.216969299E-1,9.778715057E0,9.783379619E0
1.855839458E0,-2.716850281E-1,1.088237000E-1,9.770931244E0,9.775313434E0
1.865854458E0,-2.704875183E-1,1.154100037E-1,9.782157898E0,9.786577344E0
1.875870458E0,-2.764750671E-1,1.148112488E-1,9.780960388E0,9.785540670E0
1.885885458E0,-2.685415649E-1,1.206491089E-1,9.787097626E0,9.791524433E0
1.895901458E0,-2.721340942E-1,1.194515991E-1,9.786648560E0,9.791160078E0
1.905917458E0,-2.793191528E-1,1.172062683E-1,9.777218170E0,9.781909407E0
1.915932458E0,-2.800675964E-1,1.172062683E-1,9.790091400E0,9.794797843E0
1.925948458E0,-2.760260010E-1,1.221459961E-1,9.789342957E0,9.793995381E0
1.935963458E0,-2.805166626E-1,1.112187195E-1,9.792037354E0,9.796685906E0
1.945979458E0,-2.700384521E-1,1.210981750E-1,9.785451050E0,9.789925321E0
1.955994458E0,-2.739303589E-1,1.203497314E-1,9.784103851E0,9.788677647E0
1.966010458E0,-2.695893860E-1,1.249900818E-1,9.777816925E0,9.782331255E0
1.976025458E0,-2.715353394E-1,1.196012878E-1,9.778415680E0,9.782916187E0
1.986041458E0,-2.749781799E-1,1.196012878E-1,9.772128754E0,9.776728382E0
1.996057458E0,-2.734812927E-1,1.155596924E-1,9.784403229E0,9.788906609E0
2.006072458E0,-2.722837830E-1,1.164578247E-1,9.782756653E0,9.787238048E0
2.016088458E0,-2.706372070E-1,1.291813660E-1,9.787397003E0,9.791990218E0
2.026103458E0,-2.737806702E-1,1.216969299E-1,9.785001984E0,9.789587827E0
2.036119458E0,-2.692900085E-1,1.157093811E-1,9.776769104E0,9.781161479E0
2.046134458E0,-2.736309814E-1,1.206491089E-1,9.786199493E0,9.790767623E0
2.056150458E0,-2.728825378E-1,1.275347900E-1,9.783355408E0,9.787991267E0
2.066165458E0,-2.725831604E-1,1.193019104E-1,9.786648560E0,9.791170745E0
2.076181458E0,-2.718347168E-1,1.137634277E-1,9.786798248E0,9.791233640E0
2.086197458E0,-2.721340942E-1,1.157093811E-1,9.782457275E0,9.786925767E0
2.096212458E0,-2.757266235E-1,1.175056458E-1,9.780960388E0,9.785551536E0
2.106228458E0,-2.730322266E-1,1.083746338E-1,9.774523773E0,9.778936888E0
2.116243458E0,-2.736309814E-1,1.101708984E-1,9.778265991E0,9.782714211E0
2.126259458E0,-2.686912537E-1,1.085243225E-1,9.782756653E0,9.787047576E0
2.136274458E0,-2.656974792E-1,1.242416382E-1,9.779613190E0,9.784010695E0
2.146290458E0,-2.673440552E-1,1.251397705E-1,9.778715057E0,9.783169271E0
2.156305458E0,-2.712359619E-1,1.134640503E-1,9.783355408E0,9.787772273E0
2.166321458E0,-2.662962341E-1,1.109193420E-1,9.784702606E0,9.788954075E0
2.176336458E0,-2.680924988E-1,1.207987976E-1,9.778565369E0,9.782985567E0
2.186352458E0,-2.715353394E-1,1.103205872E-1,9.779912567E0,9.784303342E0
2.196368458E0,-2.695893860E-1,1.088237000E-1,9.786498871E0,9.790816165E0
2.206383458E0,-2.740800476E-1,1.216969299E-1,9.787846069E0,9.792438955E0
2.216399458E0,-2.760260010E-1,1.160087585E-1,9.778265991E0,9.782848981E0
2.226414458E0,-2.676434326E-1,1.194515991E-1,9.787097626E0,9.791485159E0
2.236430458E0,-2.779719543E-1,1.166075134E-1,9.789941711E0,9.794581381E0
2.246445458E0,-2.757266235E-1,1.181044006E-1,9.782008209E0,9.786606073E0
2.256461458E0,-2.749781799E-1,1.140628052E-1,9.787397003E0,9.791923377E0
2.266476458E0,-2.730322266E-1,1.164578247E-1,9.787696381E0,9.792196355E0
2.276492458E0,-2.695893860E-1,1.128652954E-1,9.775122528E0,9.779490654E0
2.286508458E0,-2.752775574E-1,1.145118713E-1,9.778116302E0,9.782660636E0
2.296523458E0,-2.734812927E-1,1.194515991E-1,9.781110077E0,9.785661707E0
